Name,index,time,RA,DEC,I,SN,M,Merr,Mlim
N2188-1.Q2.B.170417_1808.S.004970.061035N3413.0060.nh.fits,68,837.755902778,92.6548477501,-34.1408445202,1.15259672564,0.463441489546,24.0341433307,2.38210336409,21.9955467575
N2188-1.Q2.B.170330_0942.A.051071.061035N3413.0060.nh.fits,69,819.404328704,92.6548652854,-34.1411688799,nan,nan,nan,nan,21.0153414692
N2188-1.Q2.B.161219_2142.S.046978.061035N3413.0060.nh.fits,70,718.904490741,92.6548026742,-34.1411162334,nan,nan,nan,nan,22.2179179438
N2188-1.Q2.B.170329_1917.S.000703.061035N3413.0060.nh.fits,71,818.803587963,92.6547720549,-34.1411924967,15.0741988886,9.02313778992,21.2293524994,0.122563152376,22.4841124681
N2188-1.Q2.B.161030_0555.C.034163.061035N3413.0060.nh.fits,72,668.247083333,92.6545550036,-34.1414593641,0.507379461616,0.915242187573,24.9292807101,1.20668746765,23.6240473256
N2188-1.Q2.B.161115_0032.S.041239.061035N3413.0060.nh.fits,73,684.022268519,92.6544992216,-34.1417552094,4.34683420325,0.359262120178,22.5859861469,3.07371537646,20.2760863456
N2188-1.Q2.B.161228_1058.A.040066.061035N3413.0060.nh.fits,74,727.457048611,92.65494385,-34.1411476551,315.048264294,1.09741105922,17.9131536596,1.00643310916,16.7957858696
N2188-1.Q2.B.170126_0125.C.051730.061035N3413.0060.nh.fits,75,756.059363426,92.6547505238,-34.1411021916,36.439559869,31.269907132,20.2664052286,0.0357325939714,23.2186819741
N2188-1.Q2.B.161119_0640.C.038107.061035N3413.0060.nh.fits,76,688.278460648,92.6548407583,-34.1411258041,nan,nan,nan,nan,23.6222268549
N2188-1.Q2.B.170309_0213.C.060754.061035N3413.0060.nh.fits,77,798.092465278,92.6546484797,-34.1411809718,77.6349272906,10.4803734319,19.4412533506,0.105639707291,20.8580614053
N2188-1.Q2.B.170112_0243.C.048811.061035N3413.0060.nh.fits,78,742.113368056,92.6547101649,-34.1410979853,36.7742189994,33.7516143668,20.2564317463,0.0331655636927,23.3605561548
N2188-1.Q2.B.170111_0639.C.048676.061035N3413.0060.nh.fits,79,741.277569444,92.6547514097,-34.1410570136,65.0026088003,21.2689576295,19.6349947763,0.0522889906319,21.8652633162
N2188-1.Q2.B.170110_0534.C.048405.061035N3413.0060.nh.fits,80,740.232581019,92.6547283557,-34.1410829781,31.2514074021,36.2773791608,20.4339645267,0.0309234133723,23.9310215544
N2188-1.Q2.B.170205_2016.S.054895.061035N3413.0060.nh.fits,81,766.84505787,92.6550860753,-34.141169863,28.645473372,5.32490647686,20.5289522323,0.207534536226,21.1853707925
N2188-1.Q2.B.170122_0227.C.051102.061035N3413.0060.nh.fits,82,752.102175926,92.6547489096,-34.1410816796,38.6729567798,34.150402114,20.20150958,0.0327667969203,23.3178798344
