Name,index,time,RA,DEC,I,SN,M,Merr,Mlim
N2188-1.Q2.I.161121_1609.A.034115.061035N3413.0060.nh.fits,584,690.673425926,92.6552498574,-34.1415045799,2.93752420406,0.499521878927,22.4536595215,2.22036409933,20.4888458436
N2188-1.Q2.I.170311_0102.C.061201.061035N3413.0060.nh.fits,585,800.04337963,92.6547446513,-34.1410834314,40.9116507705,36.3316735393,19.5802692605,0.0324847474263,22.5554064188
N2188-1.Q2.I.170109_0642.C.048192.061035N3413.0060.nh.fits,586,739.279872685,92.6546923069,-34.1410748623,40.044229339,5.58725191969,19.603648604,0.199238898574,20.310462777
N2188-1.Q2.I.161203_0747.C.040864.061035N3413.0060.nh.fits,587,702.324444444,92.6550012749,-34.1412247896,0.455903834951,0.492835832857,24.4861393408,2.25187564425,22.529245224
N2188-1.Q2.I.170203_0132.C.052947.061035N3413.0060.nh.fits,588,764.064131944,92.6547376731,-34.1411032536,50.5196854655,38.7420179936,19.3501358106,0.0306516308046,22.3123089445
N2188-1.Q2.I.161220_0358.C.044064.061035N3413.0060.nh.fits,589,719.16556713,92.6547884676,-34.141127962,-0.234695814443,-0.473485363204,nan,nan,23.119683026
N2188-1.Q2.I.161217_1728.A.038035.061035N3413.0060.nh.fits,590,716.728310185,92.6548232922,-34.1411379154,nan,nan,nan,nan,18.394549162
N2188-1.Q2.I.170307_2108.S.061106.061035N3413.0060.nh.fits,591,796.880844907,92.6547219815,-34.1411146719,55.5547401209,23.413428551,19.2464894789,0.0488996735285,21.5582571934
N2188-1.Q2.I.170305_0316.C.059980.061035N3413.0060.nh.fits,592,794.136331019,92.6547463079,-34.1410776377,42.9992673795,19.6861739961,19.5259747602,0.0577549483344,21.6665612108
N2188-1.Q2.I.170218_1048.A.044925.061035N3413.0060.nh.fits,593,779.45005787,92.6547796127,-34.141091684,59.0825506025,12.2362892928,19.1793233334,0.0916538849296,20.734068136
N2188-1.Q2.I.170319_0252.C.063176.061035N3413.0060.nh.fits,594,808.119548611,92.6547531132,-34.1411000237,44.1336054251,32.0323654263,19.4975681806,0.0364569363281,22.3058792688
N2188-1.Q2.I.161219_2146.S.046980.061035N3413.0060.nh.fits,595,718.907326389,92.6545833377,-34.1416637434,3.07908322653,1.38688895741,22.4023143064,0.799890135601,21.5995296782
N2188-1.Q2.I.170205_1917.S.054867.061035N3413.0060.nh.fits,596,766.803530093,92.6547597545,-34.141093539,53.2935043155,29.0722653129,19.2918231464,0.0398822440603,21.8700731241
N2188-1.Q2.I.170110_0321.C.048343.061035N3413.0060.nh.fits,597,740.139861111,92.6546996788,-34.141047694,19.2815035087,4.59274877745,20.4009550031,0.242240599574,20.7782853374
N2188-1.Q2.I.170402_0136.C.001439.061035N3413.0060.nh.fits,598,822.067106481,92.6547655704,-34.1410974464,37.8224613437,26.1746212066,19.6659214666,0.0440176335406,22.1532218902
N2188-1.Q2.I.161219_2254.S.047010.061035N3413.0060.nh.fits,599,718.954849537,92.6547636565,-34.1414775556,2.10754113079,0.449900899726,22.8159034729,2.46635980292,20.7310436749
N2188-1.Q2.I.170329_0050.C.000338.061035N3413.0060.nh.fits,600,818.03525463,92.6547523107,-34.1410942913,43.0627067026,19.7713716929,19.5243664076,0.0575019417877,21.6307201015
N2188-1.Q2.I.170318_2040.S.063770.061035N3413.0060.nh.fits,601,807.861666667,92.6548237103,-34.1410069402,42.7843952697,8.49820681285,19.5314400137,0.131321771724,20.6712249381
N2188-1.Q2.I.170213_0222.C.054998.061035N3413.0060.nh.fits,602,774.098761574,92.6547279331,-34.1410635646,28.7334097108,36.9257763565,19.9657603735,0.0320288632977,23.1271928464
N2188-1.Q2.I.170108_0528.C.047915.061035N3413.0060.nh.fits,603,738.227916667,92.6547274242,-34.141065813,29.6552965023,36.4813340913,19.9313080295,0.0323724754929,23.0749487896
N2188-1.Q2.I.170220_0108.C.056800.061035N3413.0060.nh.fits,604,781.04724537,92.6547286306,-34.1410741905,36.8206114454,37.265294702,19.6952083509,0.0317517176869,22.7205950888
N2188-1.Q2.I.170321_0301.C.063700.061035N3413.0060.nh.fits,605,810.126168981,92.654765736,-34.1411319556,42.9465324626,23.9956250903,19.5273135353,0.0477859679845,21.8893032339
N2188-1.Q2.I.170216_0438.C.055844.061035N3413.0060.nh.fits,606,777.19375,92.6547366048,-34.1410860646,48.6236294747,30.2455748147,19.3918683315,0.038444642216,21.9875324137
N2188-1.Q2.I.161219_0711.C.043902.061035N3413.0060.nh.fits,607,718.2996875,92.6548110588,-34.1411215735,-0.802753067335,-0.96893445351,nan,nan,22.5477941416
N2188-1.Q2.I.170331_1056.A.051265.061035N3413.0060.nh.fits,608,820.45625,92.6551380611,-34.1413674049,63.0704619058,1.30191687731,19.108065992,0.852554578137,18.1741558793
N2188-1.Q2.I.170118_1928.S.051355.061035N3413.0060.nh.fits,609,748.811782407,92.6547364042,-34.1411024906,54.9858823919,36.6424667069,19.2577179218,0.0322244044307,22.1238860716
N2188-1.Q2.I.161213_0754.C.042944.061035N3413.0060.nh.fits,610,712.329560185,92.6549561202,-34.1410442923,0.647101209081,0.791547107527,24.1040667385,1.40220168313,22.7255805355
