Name,KSPtime,Location,index,time,RA,DEC,I,SN,M,Merr,Mlim,FWHM,r_opt,Io_err,I_rand
N2188-1.Q2.B.170220_0104.C.056798.061035N3413.0060.nh.fits,2017-02-20T01:04:00.000,C,91,416.044490741,92.6547807284,-34.1410926428,31.2626480323,29.3656454729,20.4335722009,0.0378215664792,23.3854048327,4.68663801694,1.06086258192,0.0340533975636,0.00650183468891
N2188-1.Q2.B.161213_0640.C.042912.061035N3413.0060.nh.fits,2016-12-13T06:40:00.000,C,92,347.278391204,92.6548612059,-34.1411852575,nan,nan,nan,nan,23.2187239628,4.68663801694,1.06086258192,0.0340533975636,0.00650183468891
N2188-1.Q2.B.170305_2105.S.060506.061035N3413.0060.nh.fits,2017-03-05T21:05:00.000,S,93,429.878738426,92.6547376248,-34.1411655878,29.2354285384,25.4000087592,20.5067123389,0.0436589109249,23.1680075271,5.07872446004,0.911608288122,0.0393700651634,0.00717902406299
N2188-1.Q2.B.170327_1814.S.000147.061035N3413.0060.nh.fits,2017-03-27T18:14:00.000,S,94,451.760231481,92.6548105969,-34.1411495769,21.808994452,19.5417524731,20.8264241802,0.056643499324,23.2264933694,5.00000527829,1.16038882191,0.0511724831935,0.00878666316047
N2188-1.Q2.B.170111_0533.C.048646.061035N3413.0060.nh.fits,2017-01-11T05:33:00.000,C,95,376.231493056,92.6547691188,-34.1411167036,84.9872895689,46.2855555324,19.3425397181,0.0241569498199,23.3984006965,4.46383878182,1.36405977909,0.0216050123737,0.0048517735959
N2188-1.Q2.B.170219_1035.A.045189.061035N3413.0060.nh.fits,2017-02-19T10:35:00.000,A,96,415.441354167,92.6548117458,-34.1411413105,16.6578415963,9.28646102675,21.1203706683,0.11886865256,21.6958405089,7.62034480216,0.9116038735,0.10768364796,0.0166226113116
N2188-1.Q2.B.170124_2043.S.052404.061035N3413.0060.nh.fits,2017-01-24T20:43:00.000,S,97,389.862025463,92.6547765651,-34.1411703505,39.3597510182,14.8297915956,20.1823054286,0.0745403313795,21.5663204873,8.15661775661,0.995279792324,0.0674318309569,0.0110190759922
N2188-1.Q2.B.170418_1818.S.005279.061035N3413.0060.nh.fits,2017-04-18T18:18:00.000,S,98,473.762696759,92.6546938835,-34.1411201718,3.74165758946,2.99338999863,22.749540041,0.368252208473,22.0512208569,4.36313910533,0.922548836392,0.33406939973,0.048367044053
N2188-1.Q2.B.161202_0522.C.040557.061035N3413.0060.nh.fits,2016-12-02T05:22:00.000,C,99,336.22375,92.6548584518,-34.1411233874,nan,nan,nan,nan,23.6697835626,4.36313910533,0.922548836392,0.33406939973,0.048367044053
N2188-1.Q2.B.170117_1059.A.041889.061035N3413.0060.nh.fits,2017-01-17T10:59:00.000,A,100,382.458310185,92.6548806592,-34.1411157441,65.6813435273,34.3804644554,19.6236625391,0.0323582871004,23.077158628,5.00000527829,1.16038882191,0.0290862853612,0.00580911896053
