Name,KSPtime,Location,index,time,RA,DEC,I,SN,M,Merr,Mlim,FWHM,r_opt,Io_err,I_rand
N2188-1.Q2.I.170303_0217.C.059472.061035N3413.0060.nh.fits,2017-03-03T02:17:00.000,C,544,427.095833333,92.6547623662,-34.1411028507,74.3765549985,23.9388005232,18.9281815539,0.0471082929939,21.2714363597,3.41408006477,2.05952719748,0.0417731873839,0.0109364439627
N2188-1.Q2.I.170331_1056.A.051265.061035N3413.0060.nh.fits,2017-03-31T10:56:00.000,A,545,455.456238426,92.6550449857,-34.1412103227,28.6169148439,1.82168418417,19.9701924316,0.607863890815,19.4514599343,9.42383711833,1.50167821962,0.548942571215,0.0955062432597
N2188-1.Q2.I.170113_0347.C.049081.061035N3413.0060.nh.fits,2017-01-13T03:47:00.000,C,546,378.157662037,92.654739327,-34.1411689944,57.7696205474,3.02472078401,19.2038397517,0.366316769319,19.3306486206,2.11816930941,1.50622663964,0.330609028538,0.0586928902307
N2188-1.Q2.I.170328_1944.S.000420.061035N3413.0060.nh.fits,2017-03-28T19:44:00.000,S,547,452.822349537,92.6547376341,-34.1411131023,56.7020377176,17.6074039366,19.2241890829,0.0636504971812,21.2100830688,4.70329883142,1.66565162036,0.0567942896978,0.0133587766196
N2188-1.Q2.I.170212_1200.A.044538.061035N3413.0060.nh.fits,2017-02-12T12:00:00.000,A,548,408.500509259,92.6551902772,-34.1410864093,59.2828704354,6.63568858372,19.1756307233,0.167315078093,20.0390979252,10.227830632,1.66649365663,0.150700260777,0.0284742461701
N2188-1.Q2.I.161222_2116.S.047585.061035N3413.0060.nh.fits,2016-12-22T21:16:00.000,S,549,356.886759259,92.6547904584,-34.1411935116,-0.237017392477,-0.1973253723,nan,nan,22.2897191876,2.9086876919,1.78573839154,-5.06777201706,-0.871753960554
N2188-1.Q2.I.170116_2035.S.050941.061035N3413.0060.nh.fits,2017-01-16T20:35:00.000,S,550,381.857928241,92.6555008704,-34.1410848153,26.4315639339,3.91588774194,20.0568563071,0.282928186053,20.3774404171,10.3451106128,1.45837329531,0.255369935478,0.0452137946811
N2188-1.Q2.I.170120_0236.C.050690.061035N3413.0060.nh.fits,2017-01-20T02:36:00.000,C,551,385.109027778,92.654729385,-34.1410517747,38.0254491007,41.6477668389,19.660082161,0.0275058302891,22.8909518408,1.95057914565,1.77069758785,0.024010891241,0.00769165825205
N2188-1.Q2.I.170416_1901.S.004681.061035N3413.0060.nh.fits,2017-04-16T19:01:00.000,S,552,471.79255787,92.6546871993,-34.1410792055,24.4376489712,8.54220179211,20.1424236647,0.130103371052,21.3208948626,4.79618012834,1.64487390309,0.117065836694,0.0227567414809
N2188-1.Q2.I.170331_0132.C.000888.061035N3413.0060.nh.fits,2017-03-31T01:32:00.000,C,553,455.064027778,92.6547549819,-34.1410791925,42.1377100743,34.7668181797,19.5480555554,0.032767709131,22.4497715062,2.66771028992,1.68573464155,0.0287630577763,0.00865147158768
N2188-1.Q2.I.161119_0009.S.041861.061035N3413.0060.nh.fits,2016-11-19T00:09:00.000,S,554,323.006388889,92.6546884831,-34.1414986588,3.81270238979,2.68568603137,22.1691718718,0.412421735976,22.0907372294,3.27017109433,1.67974496138,0.372344342681,0.0653745372766
N2188-1.Q2.I.170113_0241.C.049051.061035N3413.0060.nh.fits,2017-01-13T02:41:00.000,C,555,378.112453704,92.6547447056,-34.1410882021,57.7252308296,12.2361160396,19.2046783495,0.0911988475957,20.7553274667,1.90204790503,1.40913465592,0.0817252792277,0.0175859874397
N2188-1.Q2.I.170415_0124.C.004750.061035N3413.0060.nh.fits,2017-04-15T01:24:00.000,C,556,470.058449074,92.6547456445,-34.1411120017,26.3118998976,12.1088556852,20.0618065862,0.0921090805761,21.5691778537,3.56105034167,1.40099650109,0.082584186813,0.017559418454
N2188-1.Q2.I.170307_0316.C.060390.061035N3413.0060.nh.fits,2017-03-07T03:16:00.000,C,557,431.136666667,92.6547476041,-34.1410774412,50.4456874977,32.5404076446,19.3517349318,0.0349540685127,22.120072381,2.426952994,1.37708107665,0.0307310225159,0.00906487194477
N2188-1.Q2.I.161030_0809.C.034224.061035N3413.0060.nh.fits,2016-10-30T08:09:00.000,C,558,303.339988426,92.6549796087,-34.1411723774,0.473545871688,0.715204991847,24.4447194515,1.54811763375,22.9052660687,2.04561086537,1.49901400404,1.39820053187,0.242403848063
N2188-1.Q2.I.161212_1558.A.037418.061035N3413.0060.nh.fits,2016-12-12T15:58:00.000,A,559,346.665578704,92.6548360076,-34.1415560911,12.1927781855,1.06992609174,20.9009390185,1.03442852182,19.7835792344,4.49425091486,1.55590159698,0.93464399805,0.15971761081
N2188-1.Q2.I.161207_0720.C.041834.061035N3413.0060.nh.fits,2016-12-07T07:20:00.000,C,560,341.30556713,92.65487401,-34.1411144026,-0.187655158066,-0.225461592303,nan,nan,22.6686128076,2.13213384273,1.45224056697,-4.43534523902,-0.766987088535
N2188-1.Q2.I.170111_0219.C.048558.061035N3413.0060.nh.fits,2017-01-11T02:19:00.000,C,561,376.097013889,92.6547366971,-34.1410838155,38.3357669056,41.8757257135,19.6512152941,0.0273662677734,22.8560974698,2.45539554525,1.24031632183,0.0238801831601,0.00768029242962
N2188-1.Q2.I.161219_1622.A.038393.061035N3413.0060.nh.fits,2016-12-19T16:22:00.000,A,562,353.681944444,92.6548852947,-34.1411135829,-1.46269792314,-0.463618951889,nan,nan,21.2186042157,4.13899078755,1.58070745066,-2.15694374858,-0.369664187234
N2188-1.Q2.I.161121_1609.A.034115.061035N3413.0060.nh.fits,2016-11-21T16:09:00.000,A,563,325.673414352,92.6547887229,-34.1411465894,-4.90261512113,-1.05245218429,nan,nan,20.7960084873,5.35754240164,2.1233052824,-0.950161931272,-0.161839087431
N2188-1.Q2.I.170220_0430.C.056890.061035N3413.0060.nh.fits,2017-02-20T04:30:00.000,C,564,416.187581019,92.654733445,-34.1410875994,48.7258304146,34.1965320124,19.3895776989,0.0333048419706,22.214706644,2.83362126039,1.21404945697,0.0292427313868,0.00876602753845
N2188-1.Q2.I.170109_0748.C.048223.061035N3413.0060.nh.fits,2017-01-09T07:48:00.000,C,565,374.325694444,92.6547432664,-34.1410824472,42.4834806436,31.9875109242,19.5391400647,0.0355340049943,22.312944452,2.8183243214,1.33926256374,0.031262201125,0.00914272273795
N2188-1.Q2.I.161201_0415.C.040296.061035N3413.0060.nh.fits,2016-12-01T04:15:00.000,C,566,335.17755787,92.6544942986,-34.1415703474,2.10069825105,1.56128128153,22.8194513845,0.709219445473,22.1404761707,3.10692783799,1.40638822861,0.640499576745,0.111281326021
N2188-1.Q2.I.161025_0714.C.032858.061035N3413.0060.nh.fits,2016-10-25T07:14:00.000,C,567,298.301377315,92.6552650906,-34.1406340323,0.353762597805,0.181770043801,24.7628646042,6.0900662696,21.6937762469,3.34610836671,1.46073438697,5.50145656067,0.946969989107
N2188-1.Q2.I.170111_0323.C.048588.061035N3413.0060.nh.fits,2017-01-11T03:23:00.000,C,568,376.14125,92.6547284508,-34.1410917393,41.3617081891,9.60653915468,19.5683335859,0.115873361331,20.8560228648,2.02889171208,1.42634935827,0.104095760596,0.0211039578031
